연도,현역(징집)병 입영인원,모집병 입영인원
1998,220730,0
1999,228014,0
2000,208828,0
2001,225500,0
2002,218304,0
2003,182534,46251
2004,175905,69279
2005,158621,75446
2006,146083,71082
2007,145476,77170
2008,132484,89945
2009,134643,123257
2010,147695,121069
2011,150827,131142
2012,139842,134482
2013,125536,130635
2014,137643,136649
2015,111971,137506
2016,120395,140808
2017,109458,117657
2018,101733,120784
2019,107269,116793
2020,109371,126775
2021,97649,118105
2022,90358,95843
2023,85324,101864
2024,83393,102473
